date,pm2.5_avg,humidity,temperature,pressure
2021-12-22 00:00:00+00:00,17.566666666666666,58.733,37.767,893.52
2021-12-23 00:00:00+00:00,30.483333333333334,41.1,28.167,899.197
2021-12-24 00:00:00+00:00,63.355793991416306,50.433,31.233,898.406
2021-12-25 00:00:00+00:00,58.39098712446352,44.166,25.733,900.556
2021-12-26 00:00:00+00:00,56.37403433476395,44.3,29.466,905.708
2021-12-27 00:00:00+00:00,93.00552763819096,48.934,27.7,905.249
2021-12-28 00:00:00+00:00,104.76633298208641,47.8,29.233,904.689
2021-12-29 00:00:00+00:00,104.84214963119072,48.034,27.834,901.679
2021-12-30 00:00:00+00:00,116.51791359325605,48.067,27.7,900.649
2021-12-31 00:00:00+00:00,105.60031612223393,47.867,27.233,901.81
2022-01-01 00:00:00+00:00,140.0968914646997,49.534,27.6,901.802
2022-01-02 00:00:00+00:00,169.9686512118019,55.133,32.767,897.345
2022-01-03 00:00:00+00:00,137.74657534246575,59.966,38.733,893.292
2022-01-04 00:00:00+00:00,59.01158798283262,46.166,37.0,896.081
2022-01-05 00:00:00+00:00,57.14978540772532,59.0,33.966,897.334
2022-01-06 00:00:00+00:00,51.09892703862661,48.9,34.666,903.391
2022-01-07 00:00:00+00:00,54.20193133047211,47.1,34.067,902.894
2022-01-08 00:00:00+00:00,106.66174920969442,49.2,37.034,902.332
2022-01-09 00:00:00+00:00,65.06244635193133,49.0,34.233,902.499
2022-01-10 00:00:00+00:00,119.47476290832455,49.3,40.466,899.649
2022-01-11 00:00:00+00:00,174.7451001053741,62.567,39.133,899.18
2022-01-12 00:00:00+00:00,126.98061116965226,57.5,43.466,901.221
2022-01-13 00:00:00+00:00,114.62249736564804,65.2,42.233,896.314
2022-01-14 00:00:00+00:00,14.466666666666665,60.9,35.767,892.043
2022-01-15 00:00:00+00:00,37.91115879828326,47.933,25.633,887.328
2022-01-16 00:00:00+00:00,50.47832618025751,47.6,33.1,889.062
2022-01-17 00:00:00+00:00,16.533333333333335,38.166,22.867,896.609
2022-01-18 00:00:00+00:00,36.82510729613734,42.067,19.666,898.826
2022-01-19 00:00:00+00:00,39.77296137339056,53.5,31.8,896.811
2022-01-20 00:00:00+00:00,66.30364806866953,60.567,32.633,891.889
2022-01-21 00:00:00+00:00,34.96330472103004,46.1,26.2,900.094
2022-01-22 00:00:00+00:00,38.53175965665237,46.6,21.267,903.437
2022-01-23 00:00:00+00:00,105.22123287671232,49.3,22.934,899.194
2022-01-24 00:00:00+00:00,59.47703862660944,42.966,28.4,896.824
2022-01-25 00:00:00+00:00,141.46159114857744,46.467,35.833,899.112
2022-01-26 00:00:00+00:00,74.82839195979899,49.1,34.433,897.947
2022-01-28 00:00:00+00:00,18.85833333333333,43.6,36.334,895.748
2022-01-29 00:00:00+00:00,47.06502145922747,47.6,32.367,898.955
2022-01-30 00:00:00+00:00,59.01158798283262,47.233,33.067,900.813
2022-01-31 00:00:00+00:00,89.37010050251257,47.1,38.933,896.529
2022-02-01 00:00:00+00:00,59.94248927038626,46.633,39.767,895.429
2022-02-02 00:00:00+00:00,66.92424892703863,46.666,40.9,902.175
2022-02-03 00:00:00+00:00,60.56309012875537,49.133,39.2,902.033
2022-02-04 00:00:00+00:00,44.27231759656652,64.433,41.966,893.019
2022-02-05 00:00:00+00:00,76.55954773869345,59.633,42.0,887.235
2022-02-06 00:00:00+00:00,14.466666666666665,37.767,30.267,898.299
2022-02-07 00:00:00+00:00,39.92811158798283,43.1,36.666,899.316
2022-02-08 00:00:00+00:00,38.066309012875536,44.0,32.034,900.426
2022-02-09 00:00:00+00:00,82.96482412060301,42.266,43.2,897.825
2022-02-10 00:00:00+00:00,52.9607296137339,45.4,45.466,895.11
2022-02-11 00:00:00+00:00,46.754721030042916,63.733,45.0,898.775
2022-02-12 00:00:00+00:00,48.30622317596567,56.8,37.767,905.023
2022-02-13 00:00:00+00:00,82.96482412060301,54.067,36.433,904.867
2022-02-14 00:00:00+00:00,38.53175965665237,41.567,39.8,903.492
2022-02-15 00:00:00+00:00,73.96281407035175,43.666,46.0,900.057
2022-02-16 00:00:00+00:00,73.44346733668343,46.033,44.333,901.216
2022-02-18 00:00:00+00:00,85.0422110552764,48.4,37.0,894.924
2022-02-19 00:00:00+00:00,109.2395152792413,51.5,40.567,896.342
2022-02-20 00:00:00+00:00,58.85643776824035,45.766,40.833,900.646
2022-02-21 00:00:00+00:00,43.496566523605146,42.1,41.166,896.994
2022-02-22 00:00:00+00:00,66.76909871244635,47.433,45.666,896.249
2022-02-23 00:00:00+00:00,55.59828326180258,46.966,43.7,898.113
2022-02-24 00:00:00+00:00,54.82253218884121,50.5,45.8,901.531
2022-02-25 00:00:00+00:00,25.833333333333336,37.167,50.067,897.149
2022-02-26 00:00:00+00:00,28.15833333333333,51.233,51.933,890.934
2022-02-27 00:00:00+00:00,25.05833333333333,43.166,51.3,897.754
2022-02-28 00:00:00+00:00,39.152360515021456,44.3,44.967,901.317
2022-03-01 00:00:00+00:00,73.09723618090452,41.534,50.567,899.006
2022-03-03 00:00:00+00:00,61.95944206008584,61.766,52.834,892.691
2022-03-04 00:00:00+00:00,2.583333333333333,46.967,50.867,879.143
2022-03-05 00:00:00+00:00,7.491666666666667,36.7,38.566,893.49
2022-03-06 00:00:00+00:00,28.15833333333333,34.7,43.267,894.668
2022-03-07 00:00:00+00:00,41.47961373390558,49.534,37.1,894.442
2022-03-08 00:00:00+00:00,57.9255364806867,44.033,39.0,890.125
2022-03-09 00:00:00+00:00,47.84077253218885,46.4,48.434,889.26
2022-03-10 00:00:00+00:00,14.725,59.334,44.1,886.323
2022-03-11 00:00:00+00:00,11.366666666666667,58.9,46.5,884.595
2022-03-12 00:00:00+00:00,3.6166666666666663,53.5,41.167,888.223
2022-03-13 00:00:00+00:00,24.541666666666664,45.133,39.4,893.246
2022-03-14 00:00:00+00:00,25.05833333333333,34.7,38.2,898.245
