Model,MSE,RMSE
Naive,319.5707975460122,17.876543221384054
SARIMA,15.417240864270076,21.477110344061135
ETS,31.77862371197215,38.54923267066573
SARIMAX,25.674689951833688,32.000266473941664
XGBoost,0.010429008007049777,0.013978571731353546
Random Forest,8.158650000000007,12.454222873186438
SVR,7.935084598738234,14.003405716359666
