Model,MSE,RMSE
Naive,600.1684963724888,24.498336604195984
SARIMA,13.582860565829737,21.380870599618905
ETS,18.629723432460104,25.834524679779957
SARIMAX,18.83534760783115,28.513908945757333
XGBoost,1.0787612631306793,1.4932729947741332
Random Forest,10.774871503057533,14.510641701905987
SVR,1.4777043148808522,2.272070804336507
