Date,SARIMA,ETS,XGBoost,SARIMAX,Random Forest,SVR
2025-03-09 00:00:00+00:00,18.26913306992919,52.001544966587495,30.721062,23.917262520046762,29.355999999999995,26.388742156570203
2025-03-16 00:00:00+00:00,15.126061312853544,46.36379790936855,29.061647,18.630035148022024,23.381000000000014,25.112004686982235
2025-03-23 00:00:00+00:00,10.072302667115702,53.82626867688893,15.425252,15.348604002053483,21.84400000000001,23.08516768058945
2025-03-30 00:00:00+00:00,4.255227145386838,25.62093431704303,14.508918,9.777159983208188,20.179000000000016,21.088972299442652
2025-04-06 00:00:00+00:00,2.9469142759635716,38.52271600870284,15.527133,10.420510803485776,15.040000000000004,19.022933428677618
2025-04-13 00:00:00+00:00,-0.31340010022850695,46.14460509770795,15.8107195,7.392448583198295,14.091999999999992,17.09050108220756
2025-04-20 00:00:00+00:00,-2.2930038060168267,36.344045706179216,10.575822,6.135866959702298,13.538000000000006,15.421406774076726
2025-04-27 00:00:00+00:00,-6.162139232340023,17.53284845626832,7.4517655,1.9725100728937437,12.967000000000002,14.118743928573654
2025-05-04 00:00:00+00:00,-6.306136033609679,17.35998703325046,9.764665,1.561197053047064,11.281,13.16685068739433
2025-05-11 00:00:00+00:00,-6.511988717923861,9.750186103210016,8.0347595,0.6148096684774091,10.853999999999996,12.549668184517007
2025-05-18 00:00:00+00:00,-5.6502654052267385,6.010456130432296,10.013765,0.47305891998640015,9.540999999999993,12.164181213265355
2025-05-25 00:00:00+00:00,-4.468827000243479,20.03662479936785,9.867333,-0.01667817329179444,9.69599999999999,11.925453327564018
2025-06-01 00:00:00+00:00,-2.494903705422077,5.966617898734087,9.520493,0.06750039579113998,10.199999999999987,11.76337452583213
2025-06-08 00:00:00+00:00,0.09825429584680734,2.0346417106983665,10.92341,0.02061568926108981,9.57199999999999,11.668920035597168
2025-06-15 00:00:00+00:00,2.8326165362595868,-0.36023760491645085,8.61881,-0.10330876277305157,10.009999999999993,11.621062201166186
2025-06-22 00:00:00+00:00,6.071200121577416,-3.082832722795267,9.127643,-0.31625011195706754,10.16999999999999,11.611094356021777
2025-06-29 00:00:00+00:00,10.026984974188572,0.132750131107084,10.380585,-0.20517345900642847,9.77,11.635223266040295
2025-07-06 00:00:00+00:00,14.182443858037914,2.5185383442501426,10.659186,0.20902964118895628,10.312999999999999,11.698223651931652
2025-07-13 00:00:00+00:00,18.582947328381678,-2.7605314303009756,9.719615,0.3575897529276755,9.764999999999997,11.78956623401676
2025-07-20 00:00:00+00:00,22.32088178254096,-4.404361167438578,11.702486,-0.015222954532287503,10.384000000000004,11.912073880354068
2025-07-27 00:00:00+00:00,26.052867719137943,-4.514947026973436,12.776766,-0.45069062647550373,10.455,12.066988340018046
2025-08-03 00:00:00+00:00,31.16746021311513,-2.894245175479771,13.26197,0.7979151402239966,11.298999999999994,12.281155785433096
2025-08-10 00:00:00+00:00,34.4031265179855,-5.7446664055877985,11.614077,-0.017021789692162503,11.483000000000002,12.514342098228372
2025-08-17 00:00:00+00:00,38.66922430826006,-4.530924836969332,14.610877,0.9072175230242481,11.030999999999999,12.77878108980926
2025-08-24 00:00:00+00:00,41.62944803813726,-4.75599593295707,13.6521845,0.3190763620828465,12.843999999999996,13.078726151350665
2025-08-31 00:00:00+00:00,44.59777160793878,-5.419270017744605,11.892427,0.3689946823424648,11.625000000000002,13.41736146253572
2025-09-07 00:00:00+00:00,47.47997348180215,-3.721208306157349,17.267351,0.6966778749478713,14.34700000000001,13.840883207686915
2025-09-14 00:00:00+00:00,49.25616885378346,-3.7942389412388913,15.146912,0.2560458882599628,14.397,14.28522694894778
2025-09-21 00:00:00+00:00,50.630100718884876,-4.905288255683736,17.083868,0.11566043615107868,13.42600000000001,14.770512277601188
2025-09-28 00:00:00+00:00,51.3345309832714,-5.589710027513215,14.498288,0.15726703166524292,13.618999999999996,15.30341313614494
2025-10-05 00:00:00+00:00,53.84664632315183,1.8218106965285354,23.453987,2.6049221225816503,20.71600000000001,15.947829002416473
2025-10-12 00:00:00+00:00,52.61265945106109,-1.5701597971766716,20.782206,0.7039743992836205,20.899000000000015,16.625140333092695
2025-10-19 00:00:00+00:00,51.62528230356621,-3.3300452281684887,22.300312,1.0262264747727587,24.997,17.36214006096248
2025-10-26 00:00:00+00:00,53.24947678312461,3.8447367772823906,36.996666,4.365176801475741,30.00200000000002,18.167757444716127
2025-11-02 00:00:00+00:00,50.97992806070937,4.317024101252802,37.85326,3.7620981729402625,34.44100000000002,19.11776684317812
2025-11-09 00:00:00+00:00,53.433672379284815,15.930414528194204,63.024494,8.833763595264994,47.05900000000003,20.130488589624814
2025-11-16 00:00:00+00:00,46.89546368788378,5.849950244130426,53.218628,4.169594029611622,43.16399999999999,21.236907575669427
2025-11-23 00:00:00+00:00,42.614146096941724,4.910933876661154,46.12564,2.735142868719428,54.94200000000004,22.446439315620516
2025-11-30 00:00:00+00:00,45.04415631423257,20.07755999533582,55.626717,9.179472611167526,68.53599999999994,23.769356736001658
2025-12-07 00:00:00+00:00,44.4648458962472,31.32317487901158,78.71309,12.28403581794481,71.24399999999993,25.26992251161544
2025-12-14 00:00:00+00:00,33.314061442457415,10.573748617164451,83.50322,3.938195046100217,52.87999999999997,26.868633918691756
2025-12-21 00:00:00+00:00,36.3713391664893,30.73460360171996,67.37388,11.248148593135415,62.39300000000002,28.571042455283404
2025-12-28 00:00:00+00:00,26.27416263992859,12.003797606821754,69.511955,4.090685036216756,52.70099999999995,30.348729517825408
